location,month,temp_mean_c,source
fuessen,1974-12,2.0,ERA5/Open-Meteo
fuessen,1975-01,-0.8,ERA5/Open-Meteo
fuessen,1975-02,-1.62,ERA5/Open-Meteo
fuessen,1975-03,0.72,ERA5/Open-Meteo
fuessen,1975-04,3.86,ERA5/Open-Meteo
fuessen,1975-05,10.02,ERA5/Open-Meteo
fuessen,1975-06,11.8,ERA5/Open-Meteo
fuessen,1975-07,15.55,ERA5/Open-Meteo
fuessen,1975-08,15.36,ERA5/Open-Meteo
fuessen,1975-09,14.27,ERA5/Open-Meteo
fuessen,1975-10,6.04,ERA5/Open-Meteo
fuessen,1975-11,0.59,ERA5/Open-Meteo
fuessen,1975-12,-0.1,ERA5/Open-Meteo
fuessen,1976-01,-2.24,ERA5/Open-Meteo
fuessen,1976-02,-0.81,ERA5/Open-Meteo
fuessen,1976-03,-0.36,ERA5/Open-Meteo
fuessen,1976-04,3.71,ERA5/Open-Meteo
fuessen,1976-05,10.25,ERA5/Open-Meteo
fuessen,1976-06,14.52,ERA5/Open-Meteo
fuessen,1976-07,16.57,ERA5/Open-Meteo
fuessen,1976-08,12.96,ERA5/Open-Meteo
fuessen,1976-09,10.57,ERA5/Open-Meteo
fuessen,1976-10,9.11,ERA5/Open-Meteo
fuessen,1976-11,1.52,ERA5/Open-Meteo
fuessen,1976-12,1.7,ERA5/Open-Meteo
fuessen,1977-01,-2.16,ERA5/Open-Meteo
fuessen,1977-02,0.8,ERA5/Open-Meteo
fuessen,1977-03,3.08,ERA5/Open-Meteo
fuessen,1977-04,3.29,ERA5/Open-Meteo
fuessen,1977-05,9.25,ERA5/Open-Meteo
fuessen,1977-06,13.28,ERA5/Open-Meteo
fuessen,1977-07,14.93,ERA5/Open-Meteo
fuessen,1977-08,13.94,ERA5/Open-Meteo
fuessen,1977-09,10.65,ERA5/Open-Meteo
fuessen,1977-10,9.1,ERA5/Open-Meteo
fuessen,1977-11,1.8,ERA5/Open-Meteo
fuessen,1977-12,-7.2,ERA5/Open-Meteo
fuessen,1978-01,-3.77,ERA5/Open-Meteo
fuessen,1978-02,-2.56,ERA5/Open-Meteo
fuessen,1978-03,1.76,ERA5/Open-Meteo
fuessen,1978-04,3.39,ERA5/Open-Meteo
fuessen,1978-05,7.97,ERA5/Open-Meteo
fuessen,1978-06,12.23,ERA5/Open-Meteo
fuessen,1978-07,14.03,ERA5/Open-Meteo
fuessen,1978-08,13.75,ERA5/Open-Meteo
fuessen,1978-09,11.39,ERA5/Open-Meteo
fuessen,1978-10,7.14,ERA5/Open-Meteo
fuessen,1978-11,2.26,ERA5/Open-Meteo
fuessen,1978-12,-6.2,ERA5/Open-Meteo
fuessen,1979-01,-6.46,ERA5/Open-Meteo
fuessen,1979-02,-0.71,ERA5/Open-Meteo
fuessen,1979-03,1.63,ERA5/Open-Meteo
fuessen,1979-04,2.63,ERA5/Open-Meteo
fuessen,1979-05,9.83,ERA5/Open-Meteo
fuessen,1979-06,14.04,ERA5/Open-Meteo
fuessen,1979-07,14.39,ERA5/Open-Meteo
fuessen,1979-08,13.93,ERA5/Open-Meteo
fuessen,1979-09,11.7,ERA5/Open-Meteo
fuessen,1979-10,9.01,ERA5/Open-Meteo
fuessen,1979-11,0.46,ERA5/Open-Meteo
fuessen,1979-12,3.6,ERA5/Open-Meteo
fuessen,1980-01,-5.4,ERA5/Open-Meteo
fuessen,1980-02,-0.01,ERA5/Open-Meteo
fuessen,1980-03,1.25,ERA5/Open-Meteo
fuessen,1980-04,2.22,ERA5/Open-Meteo
fuessen,1980-05,7.7,ERA5/Open-Meteo
fuessen,1980-06,12.1,ERA5/Open-Meteo
fuessen,1980-07,13.48,ERA5/Open-Meteo
fuessen,1980-08,15.95,ERA5/Open-Meteo
fuessen,1980-09,13.15,ERA5/Open-Meteo
fuessen,1980-10,6.36,ERA5/Open-Meteo
fuessen,1980-11,0.73,ERA5/Open-Meteo
fuessen,1980-12,-9.8,ERA5/Open-Meteo
fuessen,1981-01,-5.48,ERA5/Open-Meteo
fuessen,1981-02,-3.93,ERA5/Open-Meteo
fuessen,1981-03,2.92,ERA5/Open-Meteo
fuessen,1981-04,6.25,ERA5/Open-Meteo
fuessen,1981-05,9.96,ERA5/Open-Meteo
fuessen,1981-06,13.74,ERA5/Open-Meteo
fuessen,1981-07,14.47,ERA5/Open-Meteo
fuessen,1981-08,15.36,ERA5/Open-Meteo
fuessen,1981-09,12.84,ERA5/Open-Meteo
fuessen,1981-10,7.21,ERA5/Open-Meteo
fuessen,1981-11,0.61,ERA5/Open-Meteo
fuessen,1981-12,-1.2,ERA5/Open-Meteo
fuessen,1982-01,-2.76,ERA5/Open-Meteo
fuessen,1982-02,-2.78,ERA5/Open-Meteo
fuessen,1982-03,0.46,ERA5/Open-Meteo
fuessen,1982-04,3.64,ERA5/Open-Meteo
fuessen,1982-05,9.72,ERA5/Open-Meteo
fuessen,1982-06,14.4,ERA5/Open-Meteo
fuessen,1982-07,16.93,ERA5/Open-Meteo
